,Date,Open,High,Low,Close,Adj Close,Volume
0,2017-01-03,28.950001,29.0825,28.690001000000002,29.0375,27.332476,115127600
1,2017-01-04,28.9625,29.127501000000002,28.9375,29.004998999999998,27.301878000000002,84472400
2,2017-01-05,28.98,29.215,28.952499,29.1525,27.440720000000002,88774400
3,2017-01-06,29.195,29.540001,29.1175,29.477501,27.746634999999998,127007600
4,2017-01-09,29.487499,29.8575,29.485001,29.747498999999998,28.000782,134247600
5,2017-01-10,29.692498999999998,29.844998999999998,29.575001,29.7775,28.029020000000003,97848400
6,2017-01-11,29.684998999999998,29.9825,29.65,29.9375,28.179628000000005,110354400
7,2017-01-12,29.725,29.825001,29.5525,29.8125,28.061962,108344800
8,2017-01-13,29.7775,29.905001000000002,29.702499,29.76,28.012546999999998,104447600
9,2017-01-17,29.584999,30.059998999999998,29.555,30.0,28.238453000000003,137759200
10,2017-01-18,30.0,30.125,29.9275,29.997498999999998,28.236099,94852000
11,2017-01-19,29.85,30.022499,29.842501000000002,29.945,28.18668,102389200
12,2017-01-20,30.112499,30.112499,29.932501000000002,30.0,28.238453000000003,130391600
13,2017-01-23,30.0,30.202499,29.942498999999998,30.02,28.257278000000003,88200800
14,2017-01-24,29.887501,30.025,29.875,29.9925,28.231396000000004,92844000
15,2017-01-25,30.105,30.525,30.07,30.469998999999998,28.680854999999998,129510400
16,2017-01-26,30.4175,30.610001,30.4,30.485001,28.694977,105350400
17,2017-01-27,30.535,30.5875,30.4,30.487499,28.697329999999997,82251600
18,2017-01-30,30.2325,30.407498999999998,30.165001,30.407498999999998,28.622028000000004,121510000
19,2017-01-31,30.2875,30.3475,30.155001000000002,30.3375,28.556137,196804000
20,2017-02-01,31.7575,32.622501,31.752501000000002,32.1875,30.297508,447940000
21,2017-02-02,31.995001000000002,32.3475,31.945,32.1325,30.245739,134841600
22,2017-02-03,32.077498999999996,32.297501000000004,32.040001000000004,32.27,30.375158000000003,98029200
23,2017-02-06,32.282501,32.625,32.224998,32.572497999999996,30.659899,107383600
24,2017-02-07,32.634997999999996,33.022498999999996,32.612499,32.8825,30.951697999999997,152735200
25,2017-02-08,32.837502,33.055,32.805,33.009997999999996,31.071711999999998,92016400
26,2017-02-09,32.912498,33.112499,32.779999,33.105,31.296232,113399600
27,2017-02-10,33.115002000000004,33.235001000000004,33.012501,33.029999,31.225340000000003,80262000
28,2017-02-13,33.27,33.455002,33.1875,33.322497999999996,31.501846,92141600
29,2017-02-14,33.3675,33.772498999999996,33.3125,33.755001,31.910719,132904800
30,2017-02-15,33.880001,34.067501,33.654999,33.877499,32.026534999999996,142492400
31,2017-02-16,33.9175,33.974998,33.709998999999996,33.837502,31.988709999999998,90338400
32,2017-02-17,33.775002,33.9575,33.775002,33.93,32.076157,88792800
33,2017-02-21,34.057499,34.1875,33.994999,34.174999,32.307774,98028800
34,2017-02-22,34.107498,34.279999,34.0275,34.2775,32.404675,83347600
