Date,NEG,NEU,POS
2017-01-01,0.5964381025793651,0.18494711319605509,0.551948145031929
2017-01-02,0.641609358911713,0.4462916242579619,0.24543229102467498
2017-01-03,0.7843014689860865,0.1936007576684157,0.3554311264306307
2017-01-04,0.7101591801426063,0.4361336436122656,0.18704055024621388
2017-01-05,0.1801274282236894,0.48524492233991623,0.6679609566926956
2017-01-06,0.4967879255612691,0.5682981709639231,0.26824720048656064
2017-01-07,0.5185510207278033,0.3637610375881195,0.451021250958244
2017-01-08,0.5368525572121143,0.43751781433820724,0.3589629977165411
2017-01-09,0.35656605071077746,0.49458491802215576,0.4821823611855507
2017-01-10,0.3654281081010898,0.502376003190875,0.4655292530854543
2017-01-11,0.28152655546242994,0.15180047477285066,0.9000063774486383
2017-01-12,0.20409274846315384,0.6711863887806734,0.4580542594194412
2017-01-13,0.708518814916412,0.5369313110907873,0.08788330814180274
2017-01-14,0.8224589694291353,0.37388208508491516,0.13699232274666429
2017-01-15,0.1446052669780329,0.292710080742836,0.8960180344680945
2017-01-16,0.6972006857395172,0.48854516446590424,0.14758744525412718
2017-01-17,0.7209697576472536,0.3895064244667689,0.22285718688120446
2017-01-18,0.28182204999029636,0.5818707197904587,0.46964053250849247
2017-01-19,0.6028152691821257,0.5457348302006721,0.18478315913428864
2017-01-20,0.8469547173008323,0.1861262321472168,0.30025225474188727
2017-01-21,0.8904867122570673,0.1631056604286035,0.2797409765577565
2017-01-22,0.19184312534828982,0.5722093557318052,0.5692808553576469
2017-01-23,0.5831017846552035,0.47478389739990234,0.27544768371929723
2017-01-24,0.6385625898838043,0.5046951572100321,0.19007562597592673
2017-01-25,0.35509270057082176,0.48171320743858814,0.496527389002343
2017-01-26,0.39659250155091286,0.47719695419073105,0.45954387324551743
2017-01-27,0.06870485277613625,0.39884392110009986,0.8657845358053843
2017-01-28,1.0274385412534077,0.2529122593502204,0.05298255321880182
2017-01-29,0.13679172471165657,0.6755340496699015,0.5210075502594312
2017-01-30,1.0929636756579082,0.2027603890746832,0.03760927729308605
2017-01-31,0.7377638525019089,0.28878530859947205,0.30678414801756543
2017-02-01,0.5685094048579534,0.6194042166074117,0.14541966778536639
2017-02-02,0.6154460475469629,0.528178758919239,0.18970855480680862
2017-02-03,0.4191666635063787,0.2556179476281007,0.6585486881279697
2017-02-04,0.4206000988682111,0.6149302423000336,0.29780295708527166
2017-02-05,0.9638911286989847,0.28372991022964317,0.0857123110909015
2017-02-06,0.3479890941331784,0.6142220695813497,0.3711221118768056
2017-02-07,0.2932411980582401,0.3736149782004456,0.6664770791927973
2017-02-08,0.8430248151222864,0.4378926108280818,0.05241588891173402
2017-02-09,0.9807290335496267,0.31738846004009247,0.03521573528026541
2017-02-10,1.1904482245445251,0.13020694317917028,0.012678296693290273
2017-02-11,0.6011392722527186,0.5746366033951441,0.15755746389428774
2017-02-12,0.8855704878612111,0.11127817320326965,0.33648474351502955
2017-02-13,0.588021937214459,0.5048469391961893,0.24046456223974624
2017-02-14,0.5323912229699393,0.19165714054057995,0.6092849029228091
2017-02-15,0.3176091820932925,0.04271902423352003,0.9730051237468919
2017-02-16,0.7002608235925436,0.2504929614563783,0.3825795153776805
2017-02-17,1.16604079802831,0.137576250359416,0.029716278969620664
2017-02-18,0.5842930714134127,0.4200701018174489,0.3289700721700986
2017-02-19,0.6376524342534443,0.29540232941508293,0.4002786430840691
2017-02-20,0.1909597284005334,0.45420290033022565,0.6881707459688187
2017-02-21,0.7794251414791992,0.25645385434230167,0.29745425656437874
2017-02-22,0.6289850225051244,0.5941442089776198,0.11020403107007344
2017-02-23,0.9457272874812285,0.3350971390803655,0.052508806732172765
2017-02-24,0.06615520967170596,0.38004355877637863,0.8871345321337382
2017-02-25,0.4863731648462514,0.3885249489297469,0.458435185564061
2017-02-26,0.4203842550826569,0.23848852841183543,0.6744604852671424
2017-02-27,0.787243983708322,0.2423338033258915,0.30375558432812494
2017-02-28,0.4775230069644749,0.4054032824933529,0.45040706420938176
2017-03-01,0.0397107961277167,0.8263409386078516,0.46728166689475376
2017-03-02,0.517928543034941,0.5551622069130341,0.260242542795216
2017-03-03,0.5471013485609243,0.40057355041305226,0.3856584520544857
2017-03-04,0.04280768303821484,0.3681080999473731,0.9224175214767456
2017-03-05,0.40592163102701306,0.4999313714603583,0.4274803213775158
2017-03-06,0.7290064084033171,0.359761007130146,0.24456582016622028
2017-03-07,0.23242560343351215,0.5370386348416408,0.5638691410422325
2017-03-08,0.7205377339075009,0.31304831554492313,0.299747205649813
2017-03-09,0.7441031287113825,0.3917665034532547,0.1974636564652125
2017-03-10,0.9416326333691055,0.05782401282340288,0.3338766527206947
2017-03-11,0.32025833901328343,0.2064789223174254,0.8065960596626004
2017-03-12,0.2003851654008031,0.4920589377482732,0.6408892050385475
2017-03-13,0.3598999160652359,0.4349481289585431,0.5384852606803179
2017-03-14,0.605566498513023,0.33015162746111554,0.39761517274503905
2017-03-15,0.2918309544523557,0.8094242910544077,0.23207807540893555
2017-03-16,1.0327096780141194,0.26193902765711147,0.03868460880282024
2017-03-17,0.5759218610279883,0.13698403164744377,0.6204274729825556
2017-03-18,0.14918102079536766,0.36302113222579163,0.8211310555537542
2017-03-19,0.41961660705662024,0.4633280349274476,0.4503886053959529
2017-03-20,0.5084414733961845,0.4413495291955769,0.3835423219328125
2017-03-21,0.26606126432307065,0.4777399990707636,0.5895320276419321
2017-03-22,0.32817876486418146,0.30192096966008347,0.7032335698604584
2017-03-23,0.34181533257166546,0.40063604712486267,0.590881967296203
